"kingdom","phylum","class","order","family","genus","species","strain"
"Bacteria.Latescibacterota.Latescibacteria.Latescibacterales.Latescibacteraceae.NA","Bacteria","Latescibacterota","Latescibacteria","Latescibacterales","Latescibacteraceae","NA",NA,NA
"Bacteria.Chloroflexi.Ktedonobacteria.Ktedonobacterales.JG30-KF-AS9.NA","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","JG30-KF-AS9","NA",NA,NA
"Bacteria.Planctomycetota.Planctomycetes.Gemmatales.Gemmataceae.Tuwongella","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Tuwongella",NA,NA
"Bacteria.Campilobacterota.Campylobacteria.Campylobacterales.Arcobacteraceae.Poseidonibacter","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","Poseidonibacter",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.DMER64","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","DMER64",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Comamonadaceae.Hylemonella","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hylemonella",NA,NA
"Bacteria.Planctomycetota.Planctomycetes.Isosphaerales.Isosphaeraceae.Tundrisphaera","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Tundrisphaera",NA,NA
"Bacteria.Verrucomicrobiota.Verrucomicrobiae.Verrucomicrobiales.Verrucomicrobiaceae.Verrucomicrobium","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobium",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidetes VC2.1 Bac22.NA.NA","Bacteria","Bacteroidota","Bacteroidia","Bacteroidetes VC2","1 Bac22","NA","NA",NA
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidetes BD2-2.NA","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2","NA",NA,NA
"Bacteria.Proteobacteria.Alphaproteobacteria.Elsterales.URHD0088.NA","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","URHD0088","NA",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.JG36-TzT-191.NA.NA","Bacteria","Proteobacteria","Gammaproteobacteria","JG36-TzT-191","NA","NA",NA,NA
"Bacteria.Verrucomicrobiota.Verrucomicrobiae.LD1-PB3.NA.NA","Bacteria","Verrucomicrobiota","Verrucomicrobiae","LD1-PB3","NA","NA",NA,NA
"Bacteria.Chloroflexi.Ktedonobacteria.Ktedonobacterales.Ktedonobacteraceae.Thermosporothrix","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","Thermosporothrix",NA,NA
"Bacteria.Planctomycetota.Planctomycetes.Isosphaerales.Isosphaeraceae.Candidatus Nostocoida","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Candidatus Nostocoida",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Streptosporangiales.Streptosporangiaceae.Streptosporangium","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Streptosporangium",NA,NA
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Magnetospirillaceae.Telmatospirillum","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae","Telmatospirillum",NA,NA
"Bacteria.Desulfobacterota.Syntrophia.Syntrophales.NA.NA","Bacteria","Desulfobacterota","Syntrophia","Syntrophales","NA","NA",NA,NA
"Bacteria.Acidobacteriota.Vicinamibacteria.Subgroup 17.NA.NA","Bacteria","Acidobacteriota","Vicinamibacteria","Subgroup 17","NA","NA",NA,NA
"Archaea.Halobacterota.Methanosarcinia.Methanosarciniales.Methanosarcinaceae.Methanosarcina","Archaea","Halobacterota","Methanosarcinia","Methanosarciniales","Methanosarcinaceae","Methanosarcina",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Streptosporangiales.Streptosporangiaceae.Nonomuraea","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Nonomuraea",NA,NA
"Archaea.Crenarchaeota.Bathyarchaeia.NA.NA.NA","Archaea","Crenarchaeota","Bathyarchaeia","NA","NA","NA",NA,NA
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Xanthobacteraceae.Tardiphaga","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Tardiphaga",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Cytophagales.Microscillaceae.OLB12","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","OLB12",NA,NA
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Rhizobiales Incertae Sedis.Bauldia","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Bauldia",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Sulfuricellaceae.Ferritrophicum","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sulfuricellaceae","Ferritrophicum",NA,NA
"Bacteria.Thermotogota.Thermotogae.Kosmotogales.Kosmotogaceae.Mesotoga","Bacteria","Thermotogota","Thermotogae","Kosmotogales","Kosmotogaceae","Mesotoga",NA,NA
"Bacteria.Verrucomicrobiota.Verrucomicrobiae.Opitutales.Puniceicoccaceae.Lentimonas","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Lentimonas",NA,NA
"Bacteria.Synergistota.Synergistia.Synergistales.Synergistaceae.Thermovirga","Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Thermovirga",NA,NA
"Bacteria.Acidobacteriota.Acidobacteriae.Acidobacteriales.Acidobacteriaceae (Subgroup 1).Acidipila","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Acidipila",NA,NA
"Bacteria.Chloroflexi.Ktedonobacteria.C0119.NA.NA","Bacteria","Chloroflexi","Ktedonobacteria","C0119","NA","NA",NA,NA
"Archaea.Halobacterota.Methanosarcinia.Methanosarciniales.Methanosaetaceae.Methanosaeta","Archaea","Halobacterota","Methanosarcinia","Methanosarciniales","Methanosaetaceae","Methanosaeta",NA,NA
"Bacteria.Planctomycetota.Planctomycetes.Planctomycetales.Gimesiaceae.NA","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae","NA",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Flavobacteriales.Crocinitomicaceae.Crocinitomix","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Crocinitomix",NA,NA
"Bacteria.Zixibacteria.NA.NA.NA.NA","Bacteria","Zixibacteria","NA","NA","NA","NA",NA,NA
"Archaea.Thermoplasmatota.Thermoplasmata.Marine Group II.NA.NA","Archaea","Thermoplasmatota","Thermoplasmata","Marine Group II","NA","NA",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Oceanospirillales.Nitrincolaceae.Profundimonas","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Profundimonas",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.211ds20.NA.NA","Bacteria","Proteobacteria","Gammaproteobacteria","211ds20","NA","NA",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Gallionellaceae.Candidatus Nitrotoga","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Candidatus Nitrotoga",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prolixibacteraceae.WCHB1-32","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","WCHB1-32",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Acidiferrobacterales.Acidiferrobacteraceae.Sulfurifustis","Bacteria","Proteobacteria","Gammaproteobacteria","Acidiferrobacterales","Acidiferrobacteraceae","Sulfurifustis",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Streptosporangiales.Streptosporangiaceae.Sphaerisporangium","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Sphaerisporangium",NA,NA
"Bacteria.Proteobacteria.Alphaproteobacteria.Acetobacterales.Acetobacteraceae.Roseococcus","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseococcus",NA,NA
"Bacteria.Chloroflexi.Ktedonobacteria.Ktedonobacterales.Ktedonobacteraceae.Ktedonobacter","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","Ktedonobacter",NA,NA
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Beijerinckiaceae.Methylocapsa","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylocapsa",NA,NA
"Bacteria.Campilobacterota.Campylobacteria.Campylobacterales.Sulfurimonadaceae.Sulfuricurvum","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfuricurvum",NA,NA
"Bacteria.Nitrospinota.P9X2b3D02.NA.NA.NA","Bacteria","Nitrospinota","P9X2b3D02","NA","NA","NA",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Flavobacteriales.Flavobacteriaceae.Arenibacter","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Arenibacter",NA,NA
"Bacteria.Planctomycetota.Planctomycetes.Planctomycetales.Rubinisphaeraceae.NA","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","NA",NA,NA
"Bacteria.MBNT15.NA.NA.NA.NA","Bacteria","MBNT15","NA","NA","NA","NA",NA,NA
"Bacteria.Acidobacteriota.Acidobacteriae.Acidobacteriales.Acidobacteriaceae (Subgroup 1).Terracidiphilus","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Terracidiphilus",NA,NA
"Bacteria.Verrucomicrobiota.Kiritimatiellae.113B434.NA.NA","Bacteria","Verrucomicrobiota","Kiritimatiellae","113B434","NA","NA",NA,NA
"Bacteria.Acidobacteriota.Subgroup 22.NA.NA.NA","Bacteria","Acidobacteriota","Subgroup 22","NA","NA","NA",NA,NA
"Bacteria.Desulfobacterota.Desulfobacteria.Desulfobacterales.Desulfosarcinaceae.Desulfatirhabdium","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Desulfatirhabdium",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Alteromonadales.Colwelliaceae.Colwellia","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia",NA,NA
"Bacteria.Chloroflexi.Anaerolineae.RBG-13-54-9.NA.NA","Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9","NA","NA",NA,NA
"Bacteria.Firmicutes.Clostridia.Hungateiclostridiaceae.HN-HF0106.NA","Bacteria","Firmicutes","Clostridia","Hungateiclostridiaceae","HN-HF0106","NA",NA,NA
"Bacteria.Fibrobacterota.Chitinivibrionia.NA.NA.NA","Bacteria","Fibrobacterota","Chitinivibrionia","NA","NA","NA",NA,NA
"Bacteria.Verrucomicrobiota.Kiritimatiellae.Kiritimatiellales.Kiritimatiellaceae.MSBL3","Bacteria","Verrucomicrobiota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae","MSBL3",NA,NA
"Bacteria.Chloroflexi.Ktedonobacteria.B12-WMSP1.NA.NA","Bacteria","Chloroflexi","Ktedonobacteria","B12-WMSP1","NA","NA",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Chitinophagales.Chitinophagaceae.Flavitalea","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea",NA,NA
"Bacteria.Caldatribacteriota.JS1.NA.NA.NA","Bacteria","Caldatribacteriota","JS1","NA","NA","NA",NA,NA
"Bacteria.Firmicutes.Dethiobacteria.Dethiobacterales.Dethiobacteraceae.NA","Bacteria","Firmicutes","Dethiobacteria","Dethiobacterales","Dethiobacteraceae","NA",NA,NA
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Amb-16S-1323.NA","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Amb-16S-1323","NA",NA,NA
"Bacteria.Desulfobacterota.Desulfuromonadia.Geobacterales.Geobacteraceae.Geobacter","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Geobacter",NA,NA
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Rhizobiales Incertae Sedis.NA","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","NA",NA,NA
"Bacteria.RCP2-54.NA.NA.NA.NA","Bacteria","RCP2-54","NA","NA","NA","NA",NA,NA
"Bacteria.Proteobacteria.Alphaproteobacteria.Paracaedibacterales.Paracaedibacteraceae.Candidatus Paracaedibacter","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Candidatus Paracaedibacter",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Vibrionales.Vibrionaceae.Enterovibrio","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Enterovibrio",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Gallionellaceae.Sideroxydans","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans",NA,NA
"Bacteria.Firmicutes.Clostridia.Hungateiclostridiaceae.Ercella.NA","Bacteria","Firmicutes","Clostridia","Hungateiclostridiaceae","Ercella","NA",NA,NA
"Bacteria.Caldatribacteriota.Caldatribacteriia.Caldatribacteriales.Caldatribacteriaceae.Candidatus Caldatribacterium","Bacteria","Caldatribacteriota","Caldatribacteriia","Caldatribacteriales","Caldatribacteriaceae","Candidatus Caldatribacterium",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prolixibacteraceae.BSV13","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","BSV13",NA,NA
"Bacteria.Desulfobacterota.Desulfuromonadia.Geobacterales.Geobacteraceae.NA","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","NA",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prolixibacteraceae.NA","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","NA",NA,NA
"Bacteria.Chloroflexi.Anaerolineae.SJA-15.NA.NA","Bacteria","Chloroflexi","Anaerolineae","SJA-15","NA","NA",NA,NA
"Bacteria.Synergistota.Synergistia.Synergistales.Synergistaceae.Aminobacterium","Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Aminobacterium",NA,NA
"Bacteria.Myxococcota.Polyangia.Polyangiales.Polyangiaceae.NA","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","NA",NA,NA
"Bacteria.Verrucomicrobiota.Verrucomicrobiae.Pedosphaerales.Pedosphaeraceae.DEV114","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","DEV114",NA,NA
"Bacteria.Planctomycetota.Planctomycetes.Pirellulales.Pirellulaceae.Rhodopirellula","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula",NA,NA
"Bacteria.Bacteroidota.Ignavibacteria.Ignavibacteriales.PHOS-HE36.NA","Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","PHOS-HE36","NA",NA,NA
"Bacteria.Desulfobacterota.Syntrophia.Syntrophales.Syntrophaceae.Syntrophus","Bacteria","Desulfobacterota","Syntrophia","Syntrophales","Syntrophaceae","Syntrophus",NA,NA
"Bacteria.Bacteroidota.Ignavibacteria.Ignavibacteriales.Ignavibacteriaceae.Ignavibacterium","Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Ignavibacteriaceae","Ignavibacterium",NA,NA
"Bacteria.Desulfobacterota.Syntrophorhabdia.Syntrophorhabdales.Syntrophorhabdaceae.Syntrophorhabdus","Bacteria","Desulfobacterota","Syntrophorhabdia","Syntrophorhabdales","Syntrophorhabdaceae","Syntrophorhabdus",NA,NA
"Bacteria.Planctomycetota.OM190.NA.NA.NA","Bacteria","Planctomycetota","OM190","NA","NA","NA",NA,NA
"Bacteria.Desulfobacterota.Desulfuromonadia.Geobacterales.Geobacteraceae.Geotalea","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Geotalea",NA,NA
"Bacteria.Bacteroidota.Kryptonia.Kryptoniales.BSV26.NA","Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26","NA",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Flavobacteriales.NS9 marine group.NA","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group","NA",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Micrococcales.Dermatophilaceae.NA","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Dermatophilaceae","NA",NA,NA
"Bacteria.Sva0485.NA.NA.NA.NA","Bacteria","Sva0485","NA","NA","NA","NA",NA,NA
"Bacteria.Chloroflexi.Chloroflexia.Thermomicrobiales.NA.NA","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","NA","NA",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Flavobacteriales.Flavobacteriaceae.Polaribacter","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter",NA,NA
"Bacteria.Verrucomicrobiota.Verrucomicrobiae.Pedosphaerales.Pedosphaeraceae.Pedosphaera","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Pedosphaera",NA,NA
"Bacteria.Nitrospirota.Thermodesulfovibrionia.NA.NA.NA","Bacteria","Nitrospirota","Thermodesulfovibrionia","NA","NA","NA",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Rhodanobacteraceae.Ahniella","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Ahniella",NA,NA
"Bacteria.Planctomycetota.Phycisphaerae.Phycisphaerales.Phycisphaeraceae.NA","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","NA",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Cytophagales.Cytophagaceae.Sporocytophaga","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Sporocytophaga",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Comamonadaceae.Methylibium","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Methylibium",NA,NA
"Bacteria.NB1-j.NA.NA.NA.NA","Bacteria","NB1-j","NA","NA","NA","NA",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Micrococcales.Micrococcaceae.Garicola","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Garicola",NA,NA
"Bacteria.Firmicutes.Clostridia.Peptostreptococcales-Tissierellales.(unclassified).Gottschalkia","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","(unclassified)","Gottschalkia",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Rhodocyclaceae.Ferribacterium","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Ferribacterium",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Cellvibrionales.Halieaceae.Haliea","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Haliea",NA,NA
"Bacteria.Desulfobacterota.Desulfobacteria.Desulfatiglandales.Desulfatiglandaceae.Desulfatiglans","Bacteria","Desulfobacterota","Desulfobacteria","Desulfatiglandales","Desulfatiglandaceae","Desulfatiglans",NA,NA
"Bacteria.Chloroflexi.Dehalococcoidia.RBG-13-46-9.NA.NA","Bacteria","Chloroflexi","Dehalococcoidia","RBG-13-46-9","NA","NA",NA,NA
"Bacteria.Firmicutes.Bacilli.Entomoplasmatales.Entomoplasmatales Incertae Sedis.Candidatus Hepatoplasma","Bacteria","Firmicutes","Bacilli","Entomoplasmatales","Entomoplasmatales Incertae Sedis","Candidatus Hepatoplasma",NA,NA
"Archaea.Aenigmarchaeota.Deep Sea Euryarchaeotic Group(DSEG).NA.NA.NA","Archaea","Aenigmarchaeota","Deep Sea Euryarchaeotic Group(DSEG)","NA","NA","NA",NA,NA
"Bacteria.Desulfobacterota.Syntrophobacteria.Syntrophobacterales.Syntrophobacteraceae.NA","Bacteria","Desulfobacterota","Syntrophobacteria","Syntrophobacterales","Syntrophobacteraceae","NA",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.KI89A clade.NA.NA","Bacteria","Proteobacteria","Gammaproteobacteria","KI89A clade","NA","NA",NA,NA
"Bacteria.Verrucomicrobiota.Verrucomicrobiae.Opitutales.Opitutaceae.NA","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","NA",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.CCD24.NA.NA","Bacteria","Proteobacteria","Gammaproteobacteria","CCD24","NA","NA",NA,NA
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium sensu stricto 8","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 8",NA,NA
"Bacteria.Bdellovibrionota.Oligoflexia.Silvanigrellales.Silvanigrellaceae.NA","Bacteria","Bdellovibrionota","Oligoflexia","Silvanigrellales","Silvanigrellaceae","NA",NA,NA
"Bacteria.Methylomirabilota.Methylomirabilia.Rokubacteriales.NA.NA","Bacteria","Methylomirabilota","Methylomirabilia","Rokubacteriales","NA","NA",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Marinilabiliaceae.Ruminofilibacter","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","Ruminofilibacter",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.SB-5.NA","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5","NA",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Micromonosporales.Micromonosporaceae.Longispora","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Longispora",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Sphingobacteriales.Lentimicrobiaceae.NA","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","NA",NA,NA
"Bacteria.Verrucomicrobiota.Lentisphaeria.Victivallales.GWF2-44-16.NA","Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","GWF2-44-16","NA",NA,NA
"Bacteria.Acidobacteriota.Holophagae.Holophagales.Holophagaceae.NA","Bacteria","Acidobacteriota","Holophagae","Holophagales","Holophagaceae","NA",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Hydrogenophilaceae.NA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Hydrogenophilaceae","NA",NA,NA
"Bacteria.Chloroflexi.Dehalococcoidia.NA.NA.NA","Bacteria","Chloroflexi","Dehalococcoidia","NA","NA","NA",NA,NA
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Methyloligellaceae.NA","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","NA",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Methylococcales.Methylomonadaceae.Methylobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylobacter",NA,NA
"Bacteria.Verrucomicrobiota.Chlamydiae.Chlamydiales.Parachlamydiaceae.Neochlamydia","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae","Neochlamydia",NA,NA
"Bacteria.Spirochaetota.MVP-15.NA.NA.NA","Bacteria","Spirochaetota","MVP-15","NA","NA","NA",NA,NA
"Bacteria.Methylomirabilota.Methylomirabilia.Methylomirabilales.Methylomirabilaceae.Sh765B-TzT-35","Bacteria","Methylomirabilota","Methylomirabilia","Methylomirabilales","Methylomirabilaceae","Sh765B-TzT-35",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Marinilabiliaceae.Saccharicrinis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","Saccharicrinis",NA,NA
"Bacteria.Planctomycetota.Phycisphaerae.CCM11a.NA.NA","Bacteria","Planctomycetota","Phycisphaerae","CCM11a","NA","NA",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Nitrosomonadaceae.mle1-7","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","mle1-7",NA,NA
"Bacteria.Acidobacteriota.Blastocatellia.Blastocatellales.Blastocatellaceae.OLB17","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","OLB17",NA,NA
"Bacteria.Verrucomicrobiota.Verrucomicrobiae.S-BQ2-57 soil group.NA.NA","Bacteria","Verrucomicrobiota","Verrucomicrobiae","S-BQ2-57 soil group","NA","NA",NA,NA
"Bacteria.Acidobacteriota.Subgroup 18.NA.NA.NA","Bacteria","Acidobacteriota","Subgroup 18","NA","NA","NA",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Sulfuricellaceae.Sulfuriferula","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sulfuricellaceae","Sulfuriferula",NA,NA
"Bacteria.Acidobacteriota.Acidobacteriae.Acidobacteriales.Acidobacteriaceae (Subgroup 1).Occallatibacter","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Occallatibacter",NA,NA
"Archaea.Halobacterota.Methanosarcinia.Methanosarciniales.Methanoperedenaceae.Candidatus Methanoperedens","Archaea","Halobacterota","Methanosarcinia","Methanosarciniales","Methanoperedenaceae","Candidatus Methanoperedens",NA,NA
"Bacteria.Verrucomicrobiota.Verrucomicrobiae.Pedosphaerales.Pedosphaeraceae.SH3-11","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","SH3-11",NA,NA
"Bacteria.Desulfobacterota.Desulfuromonadia.Desulfuromonadaceae.Desulfuromonas.NA","Bacteria","Desulfobacterota","Desulfuromonadia","Desulfuromonadaceae","Desulfuromonas","NA",NA,NA
"Bacteria.Bacteroidota.Ignavibacteria.Ignavibacteriales.NA.NA","Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","NA","NA",NA,NA
"Bacteria.Planctomycetota.Planctomycetes.Pirellulales.Pirellulaceae.Blastopirellula","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula",NA,NA
"Bacteria.WS1.NA.NA.NA.NA","Bacteria","WS1","NA","NA","NA","NA",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.1013-28-CG33.NA.NA","Bacteria","Proteobacteria","Gammaproteobacteria","1013-28-CG33","NA","NA",NA,NA
